	0
1542	2244
1543	2245
1544	2246
1545	2247
1546	2248
1547	2249
1548	2250
1549	2251
1550	2252
1551	2253
1552	2254
1553	2255
1554	2256
1555	2257
1556	2258
1557	2259
1558	2260
1559	2261
1560	2262
1561	2263
1562	2264
1563	2265
1564	2266
1565	2267
1566	2268
1567	2269
1568	2271
1569	2272
1570	2273
1571	2274
1572	2275
1573	2276
1574	2277
1575	2278
1576	2279
1577	2280
1578	2281
1579	2282
1580	2283
1581	2284
1582	2285
1583	2286
1584	2287
1585	2288
1586	2289
1587	2290
1588	2291
1589	2292
1590	2293
1591	2294
1592	2295
1593	2296
1594	2297
1595	2298
1596	2299
1597	2300
1598	2301
1599	2302
1600	2303
1601	2304
1602	2305
1603	2306
1604	2307
1605	2308
1606	2309
1607	2310
1608	2311
1609	2312
1610	2313
1611	2314
1612	2315
1613	2316
1614	2317
1615	2318
1616	2319
1617	2320
1618	2321
1619	2322
1620	2323
1621	2324
1622	2325
1623	2326
1624	2327
1625	2328
1626	2329
1627	2330
1628	2331
1629	2332
1630	2333
1631	2334
1632	2335
1633	2336
1634	2337
1635	2338
1636	2339
1637	2340
1638	2341
1639	2342
1640	2343
1641	2344
1642	2345
1643	2346
1644	2347
1645	2348
1646	2349
1647	2350
1648	2351
1649	2352
1650	2353
1651	2354
1652	2355
1653	2356
1654	2357
1655	2358
1656	2359
1657	2360
1658	2361
1659	2362
1660	2363
1661	2364
1662	2365
1663	2366
1664	2367
1665	2368
1666	2369
1667	2370
1668	2371
1669	2372
1670	2373
1671	2374
1672	2375
1673	2376
1674	2377
1675	2378
1676	2379
1677	2380
1678	2381
1679	2382
1680	2383
1681	2384
1682	2385
1683	2386
1684	2387
1685	2388
1686	2389
1687	2390
1688	2391
1689	2392
1690	2393
1691	2394
1692	2395
1693	2396
1694	2397
1695	2398
1696	2399
1697	2400
1698	2401
1699	2402
1700	2403
1701	2404
1702	2405
1703	2406
1704	2407
1705	2408
1706	2409
1707	2410
1708	2411
1709	2412
1710	2413
1711	2414
1712	2415
1713	2416
1714	2417
1715	2418
1716	2419
1717	2420
1718	2421
1719	2422
1720	2423
1721	2425
1722	2426
1723	2427
1724	2428
1725	2429
1726	2430
1727	2431
1728	2432
1729	2433
1730	2434
1731	2435
1732	2436
1733	2437
1734	2438
1735	2439
1736	2440
1737	2441
1738	2442
1739	2443
1740	2444
1741	2445
1742	2446
1743	2447
1744	2448
1745	2449
1746	2450
1747	2451
1748	2452
1749	2453
1750	2454
1751	2455
1752	2456
1753	2457
1754	2458
1755	2459
1756	2460
1757	2461
1758	2462
1759	2463
1760	2464
1761	2465
1762	2466
1763	2467
1764	2468
1765	2469
1766	2470
1767	2473
1768	2474
1769	2475
1770	2476
1771	2477
1772	2479
1773	2480
1774	2481
1775	2482
1776	2483
1777	2484
1778	2487
1779	2489
1780	2495
1781	2496
1782	2497
1783	2499
1784	2500
1785	2501
1786	2503
1787	2504
1788	2505
1789	2507
1790	2508
1791	2509
1792	2511
1793	2512
1794	2513
1795	2514
1796	2515
1797	2516
1798	2517
1799	2519
1800	2520
1801	2521
1802	2524
1803	2525
1804	2526
1805	2527
1806	2528
1807	2529
1808	2530
1809	2531
1810	2532
1811	2533
1812	2534
1813	2535
1814	2536
1815	2537
1816	2538
1817	2539
1818	2540
1819	2541
1820	2542
1821	2544
1822	2545
1823	2546
1824	2548
1825	2549
1826	2550
1827	2551
1828	2552
1829	2553
1830	2554
1831	2555
1832	2556
1833	2557
1834	2558
1835	2560
1836	2561
1837	2562
1838	2563
1839	2564
1840	2565
1841	2566
1842	2568
1843	2569
1844	2570
1845	2572
1846	2573
1847	2574
1848	2575
1849	2576
1850	2577
1851	2579
1852	2580
1853	2582
1854	2583
1855	2584
1856	2585
1857	2586
1858	2587
1859	2588
1860	2589
1861	2590
1862	2591
1863	2592
1864	2593
1865	2594
1866	2595
1867	2596
1868	2597
1869	2598
1870	2599
1871	2600
1872	2601
1873	2602
1874	2603
1875	2604
1876	2605
1877	2606
1878	2607
1879	2608
1880	2609
1881	2610
1882	2611
1883	2612
1884	2613
1885	2614
1886	2617
1887	2618
1888	2619
1889	2620
1890	2622
1891	2623
1892	2624
1893	2626
1894	2627
1895	2628
1896	2629
1897	2630
1898	2631
1899	2632
1900	2633
1901	2634
1902	2635
1903	2636
1904	2637
1905	2638
1906	2639
1907	2640
1908	2641
1909	2642
1910	2644
1911	2645
1912	2646
1913	2647
1914	2648
1915	2649
1916	2650
1917	2651
1918	2652
1919	2653
1920	2655
1921	2656
1922	2663
1923	2675
1924	2676
1925	2677
1926	2678
1927	2679
1928	2680
1929	2681
1930	2682
1931	2683
1932	2684
1933	2685
1934	2687
1935	2688
1936	2689
1937	2691
1938	2692
1939	2693
1940	2694
1941	2695
1942	2696
1943	2697
1944	2698
1945	2699
1946	2700
1947	2701
1948	2702
1949	2703
1950	2704
1951	2705
1952	2706
1953	2707
1954	2708
1955	2709
1956	2713
1957	2714
1958	2715
1959	2717
1960	2718
1961	2719
1962	2720
1963	2721
1964	2722
1965	2723
1966	2724
1967	2725
1968	2726
1969	2727
1970	2728
1971	2729
1972	2730
1973	2731
1974	2732
1975	2733
1976	2734
1977	2735
1978	2736
1979	2737
1980	2738
1981	2739
1982	2740
1983	2742
1984	2743
1985	2744
1986	2746
1987	2747
1988	2748
1989	2750
1990	2751
1991	2752
1992	2753
1993	2754
1994	2755
1995	2756
1996	2758
1997	2759
1998	2760
1999	2761
2000	2762
2001	2763
2002	2764
2003	2765
2004	2766
2005	2767
2006	2768
2007	2769
2008	2770
2009	2772
2010	2773
2011	2774
2012	2775
2013	2776
2014	2777
2015	2778
2016	2779
2017	2780
2018	2781
2019	2782
2020	2783
2021	2784
2022	2785
2023	2786
2024	2787
2025	2788
2026	2789
2027	2790
2028	2791
2029	2792
2030	2793
2031	2794
2032	2795
2033	2796
2034	2797
2035	2798
2036	2799
2037	2800
2038	2801
2039	2802
2040	2804
2041	2805
2042	2806
2043	2807
2044	2808
2045	2809
2046	2810
2047	2811
2048	2812
2049	2813
2050	2814
2051	2815
2052	2816
2053	2817
2054	2818
2055	2819
2056	2820
2057	2822
2058	2823
2059	2824
2060	2825
2061	2826
2062	2828
2063	2829
2064	2830
2065	2831
2066	2832
2067	2833
2068	2835
2069	2841
2070	2843
2071	2844
2072	2845
2073	2848
2074	2849
2075	2850
2076	2851
2077	2852
2078	2853
2079	2854
2080	2855
2081	2856
2082	2857
2083	2859
2084	2860
2085	2863
2086	2866
2087	2869
2088	2872
2089	2876
2090	2879
2091	2880
2092	2881
2093	2884
2094	2885
2095	2889
2096	2890
2097	2891
2098	2892
2099	2893
2100	2894
2101	2897
2102	2898
2103	2899
2104	2901
2105	2902
2106	2903
2107	2904
2108	2906
2109	2907
2110	2910
2111	2911
2112	2913
2113	2914
2114	2916
2115	2918
2116	2920
2117	2922
2118	2923
2119	2924
2120	2925
2121	2926
2122	2927
2123	2928
2124	2930
2125	2931
2126	2932
2127	2933
2128	2934
2129	2935
2130	2936
2131	2937
2132	2938
2133	2939
2134	2940
2135	2941
2136	2942
2137	2943
2138	2944
2139	2945
2140	2946
2141	2947
2142	2948
2143	2949
2144	2950
2145	2951
2146	2952
2147	2953
2148	2954
2149	2955
2150	2956
2151	2957
2152	2958
2153	2959
2154	2963
2155	2964
2156	2965
2157	2966
2158	2967
2159	2968
2160	2969
2161	2970
2162	2971
2163	2972
2164	2973
2165	2974
2166	2975
2167	2976
2168	2977
2169	2978
2170	2979
2171	2982
2172	2983
2173	2984
2174	2985
2175	2986
2176	2987
2177	2991
2178	2993
2179	2995
2180	2996
2181	2998
2182	2999
2183	3000
2184	3001
2185	3002
2186	3003
2187	3004
2188	3006
2189	3007
2190	3008
2191	3010
2192	3011
2193	3012
2194	3013
2195	3014
2196	3015
2197	3016
2198	3017
2199	3018
2200	3019
2201	3020
2202	3021
2203	3022
2204	3023
2205	3024
2206	3025
2207	3026
2208	3027
2209	3028
2210	3029
2211	3030
2212	3031
2213	3032
2214	3033
2215	3034
2216	3035
2217	3036
2218	3037
2219	3038
2220	3039
2221	3040
2222	3041
2223	3042
2224	3043
2225	3044
2226	3045
2227	3046
2228	3047
2229	3048
2230	3049
2231	3050
2232	3051
2233	3052
2234	3053
2235	3054
2236	3055
2237	3056
2238	3057
2239	3061
2240	3066
2241	3068
2242	3072
2243	3073
2244	3075
2245	3095
2246	3097
2247	3098
2248	3102
2249	3107
2250	3109
2251	3110
2252	3118
2253	3119
2254	3120
2255	3121
2256	3122
2257	3123
2258	3124
2259	3125
2260	3126
2261	3127
2262	3128
2263	3129
2264	3130
2265	3131
2266	3132
2267	3133
2268	3134
2269	3135
2270	3136
2271	3137
2272	3138
2273	3139
2274	3140
2275	3141
2276	3142
2277	3143
2278	3144
2279	3145
2280	3146
2281	3147
2282	3148
2283	3149
2284	3150
2285	3151
2286	3152
2287	3153
2288	3154
2289	3155
2290	3156
2291	3157
2292	3158
2293	3159
2294	3160
2295	3161
2296	3162
2297	3163
2298	3164
2299	3165
2300	3166
2301	3167
2302	3168
2303	3169
2304	3171
2305	3172
2306	3173
2307	3174
2308	3175
2309	3176
2310	3177
